,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
392,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.029677295,0.062785183,0.065201495
274,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.03207373,0.06278613,0.070360266
389,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.03207373,0.06278613,0.070360266
197,lgb,l2,6,"['Total Frames', 'Params', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.025328442,0.062836639,0.067596017
194,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.027268368,0.062847161,0.068808402
106,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot']",1,0.027442807,0.062900958,0.066195976
187,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.031773056,0.062912612,0.070076885
312,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.031216984,0.06295473,0.067737568
142,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dotloop']",1,0.031841307,0.062957822,0.067834814
281,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.031841307,0.062957822,0.067834814
103,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_dotloop', 'matrix_addloop']",1,0.025783483,0.062965267,0.068530249
358,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.02945044,0.062986338,0.070352283
173,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.02889376,0.062993406,0.067308689
368,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.028807714,0.062994334,0.069497727
297,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.030926724,0.063038795,0.069661887
403,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.030926724,0.063038795,0.069661887
282,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_add']",1,0.029234709,0.063060046,0.067484266
260,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.0283629,0.063062329,0.067866619
181,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_addloop']",1,0.031659394,0.063092279,0.070060144
301,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_add']",1,0.028528352,0.063099089,0.067861608
18,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dot']",1,0.029984238,0.063106727,0.071025534
460,lgb,l2,10,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.028530767,0.06312619,0.071503308
