,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1730,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.90553,3.50887,66.10457,13th corei5 - GTX1650
1731,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.52401,3.13398,25.42466,1th Xeon Gold - RTX4070
1732,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.74856,3.33587,10.81021,13th corei7 - RTX3050
1733,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.48824,3.1614,13.56918,13th corei5 - GTX1080
1734,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.47004,3.18227,45.76162,13th corei5 - RTX4070
1735,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.49406,3.05915,11.84881,13th corei7 - RTX3060 Ti
1736,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.8351,3.41922,9.20409,13th corei5 - RTX3050
1737,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.71153,3.35309,14.24775,1th Xeon Gold - GTX1080
1738,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.74899,3.25903,25.14537,9th corei7 - RTX2080 Ti
1739,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.60837,3.26292,6.55305,13th corei7 - RTX4070
1740,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.72409,3.17357,12.14575,13th corei5 - RTX3060 Ti
1741,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.77112,3.31258,20.76118,13th corei7 - GTX1080
1742,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.87072,3.46669,34.41153,13th corei5 - GTX1650
1743,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.51272,3.1345,25.47865,1th Xeon Gold - RTX4070
1744,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.83917,3.55379,11.53979,13th corei7 - RTX3050
1745,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.49521,3.11425,15.27838,13th corei5 - GTX1080
1746,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.4978,3.25266,27.14781,13th corei5 - RTX4070
1747,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.51154,3.04254,8.1768,13th corei7 - RTX3060 Ti
